abbreviation,state,Population,2024_margin,pvi_2024,pvi_2024_label,Trend,Margin_delta
AK,Alaska,736510,-0.1369312508474994,-0.14207599311374594,R+14.2,STABLE,0.0051447422662465325
AL,Alabama,5117673,-0.3088122385938789,-0.30451174808198983,R+30.5,RIGHT,-0.004300490511889077
AR,Arkansas,3069463,-0.3133998647229675,-0.31981614559281835,R+32.0,STABLE,0.0064162808698508544
AZ,Arizona,7473027,-0.0558831792173336,-0.04736515326887679,R+4.7,LEFT,-0.008518025948456812
CA,California,39198693,0.2080028514359668,0.23209865887315595,D+23.2,RIGHT,-0.024095807437189143
CO,Colorado,5901339,0.1129308346213292,0.10485673178216301,D+10.5,LEFT,0.008074102839166195
CT,Connecticut,3643023,0.1475646497251833,0.15474093529186697,D+15.5,LEFT,-0.007176285566683677
DC,District of Columbia,687324,0.8662949112005608,0.8568251136249718,D+85.7,LEFT,0.009469797575588967
DE,Delaware,1036423,0.1495847128299633,0.15006791761332328,D+15.0,LEFT,-0.0004832047833599751
FL,Florida,22904868,-0.1322213886698459,-0.10405012140784164,R+10.4,RIGHT,-0.02817126726200425
GA,Georgia,11064432,-0.0220873230279628,-0.03084224533639807,R+3.1,LEFT,0.008754922308435269
HI,Hawaii,1441387,0.23560651661223,0.24713802431976067,D+24.7,RIGHT,-0.01153150770753067
IA,Iowa,3218414,-0.1344559770959623,-0.13005249984585482,R+13.0,RIGHT,-0.004403477250107479
ID,Idaho,1971122,-0.3752184118025307,-0.36737251560354717,R+36.7,STABLE,-0.007845896198983515
IL,Illinois,12642259,0.1113553081654342,0.12127621095928318,D+12.1,RIGHT,-0.009920902793848982
IN,Indiana,6880131,-0.1930491166629102,-0.19946691885738785,R+19.9,STABLE,0.006417802194477656
KS,Kansas,2951500,-0.1641147389455032,-0.17798353248056825,R+17.8,LEFT,0.013868793535065038
KY,Kentucky,4550595,-0.3102814203220417,-0.3081336196151536,R+30.8,RIGHT,-0.002147800706888081
LA,Louisiana,4588071,-0.2235702081883187,-0.22742138910857296,R+22.7,RIGHT,0.0038511809202542713
MA,Massachusetts,7066568,0.2591063884083852,0.27971680915417096,D+28.0,RIGHT,-0.020610420745785785
MD,Maryland,6217062,0.2950951405436184,0.29684616029122946,D+29.7,LEFT,-0.001751019747611049
ME,Maine,1399646,0.0708861163994892,0.061155223568281215,D+6.1,LEFT,0.00973089283120799
MI,Michigan,10083356,-0.0144247365783393,-0.014068655296578168,R+1.4,STABLE,-0.00035608128176113293
MN,Minnesota,5753048,0.0434340435218895,0.037120277795108306,D+3.7,LEFT,0.006313765726781197
MO,Missouri,6208038,-0.1867472062616317,-0.19272369002633344,R+19.3,LEFT,0.005976483764701751
MS,Mississippi,2943172,-0.2314502821118368,-0.22056687978131012,R+22.1,RIGHT,-0.010883402330526676
MT,Montana,1131302,-0.205780970401637,-0.20785416657280267,R+20.8,STABLE,0.0020731961711656643
NC,North Carolina,10881189,-0.032606802026008,-0.044137106796374365,R+4.4,STABLE,0.011530304770366366
ND,North Dakota,789047,-0.3739298613278637,-0.38013089534440125,R+38.0,STABLE,0.006201034016537543
NE,Nebraska,1987864,-0.2084068330389779,-0.22303581943700934,R+22.3,LEFT,0.014628986398031452
NH,New Hampshire,1402199,0.0282121494672676,0.030597671498081097,D+3.1,LEFT,-0.0023855220308134986
NJ,New Jersey,9379642,0.0602774743323351,0.08985969258261287,D+9.0,RIGHT,-0.029582218250277764
NM,New Mexico,2121164,0.061418122286473,0.06490208220893079,D+6.5,STABLE,-0.0034839599224577925
NV,Nevada,3214363,-0.0315901790851701,-0.024555796593650127,R+2.5,STABLE,-0.007034382491519976
NY,New York,19737367,0.1268948611713893,0.15962389906431396,D+16.0,RIGHT,-0.03272903789292467
OH,Ohio,11824034,-0.1131322942727407,-0.11832500406490062,R+11.8,STABLE,0.005192709792159925
OK,Oklahoma,4063882,-0.3494008381234161,-0.3650926944822763,R+36.5,STABLE,0.015691856358860223
OR,Oregon,4253653,0.1486611606977519,0.13641026975179013,D+13.6,LEFT,0.012250890945961768
PA,Pennsylvania,13017721,-0.0172638469212715,-0.023731751318648294,R+2.4,STABLE,0.006467904397376795
RI,Rhode Island,1103429,0.1416240626789067,0.15581374972754283,D+15.6,RIGHT,-0.01418968704863613
SC,South Carolina,5387830,-0.1812336522703814,-0.17087479408251477,R+17.1,LEFT,-0.010358858187866637
SD,South Dakota,918305,-0.2989019907385306,-0.3047906744375834,R+30.5,LEFT,0.005888683699052821
TN,Tennessee,7148304,-0.3012109965499333,-0.28987508244713334,R+29.0,STABLE,-0.011335914102799938
TX,Texas,30727890,-0.1387806780161845,-0.1186894318273907,R+11.9,STABLE,-0.020091246188793793
UT,Utah,3443222,-0.222106992333986,-0.23898142783701246,R+23.9,LEFT,0.016874435503026447
VA,Virginia,8734685,0.0590207868531316,0.06006538296906176,D+6.0,LEFT,-0.001044596115930163
VT,Vermont,648708,0.3277043577168019,0.3258521639349634,D+32.6,LEFT,0.0018521937818384848
WA,Washington,7857320,0.1892955147941152,0.17291090879346138,D+17.3,LEFT,0.016384606000653806
WI,Wisconsin,5930405,-0.0087338878234505,-0.022168191697888435,R+2.2,LEFT,0.013434303874437935
WV,West Virginia,1770495,-0.426877845600476,-0.4324161263909614,R+43.2,RIGHT,0.005538280790485406
WY,Wyoming,585067,-0.4695834604821483,-0.4805879544484282,R+48.1,LEFT,0.011004493966279949
