year,abbr,electoral_votes,D_pct_raw,R_pct_raw,D_votes,R_votes,D_pct,R_pct,pres_margin,national_margin,relative_margin,relative_margin_delta
1976,ME-01,1,,,123598,127019,0.493175,0.506825,-0.013650,0.022747,-0.036397,0
1980,ME-01,1,,,117613,126274,0.482244,0.517756,-0.035512,-0.103151,0.067639,0.104036
1984,ME-01,1,,,117450,175472,0.400960,0.599040,-0.198080,-0.182467,-0.015613,-0.083252
1988,ME-01,1,,,131078,169292,0.436388,0.563612,-0.127223,-0.076649,-0.050574,-0.034961
1992,ME-01,1,,,145191,115697,0.556526,0.443474,0.113052,0.070701,0.042351,0.092925
1996,ME-01,1,,,165053,100851,0.620724,0.379276,0.241448,0.094868,0.146580,0.104228
2000,ME-01,1,,,176293,148618,0.542589,0.457411,0.085177,0.001493,0.083685,-0.062895
2004,ME-01,1,,,211703,165824,0.560763,0.439237,0.121525,-0.025928,0.147453,0.063769
2008,ME-01,1,,,232145,144604,0.616179,0.383821,0.232359,0.074600,0.157759,0.010306
2012,ME-01,1,,,221952,142573,0.608880,0.391120,0.217760,0.039218,0.178542,0.020783
2016,ME-01,1,,,210979,154127,0.577857,0.422143,0.155714,0.021495,0.134219,-0.044323
2020,ME-01,1,,,266376,164045,0.618873,0.381127,0.237746,0.045360,0.192387,0.058168
2024,ME-01,1,,,258863,165214,0.610415,0.389585,0.220830,-0.014997,0.235827,0.043440
1976,ME-02,1,,,108681,109301,0.498578,0.501422,-0.002844,0.022747,-0.025591,0
1980,ME-02,1,,,103361,112248,0.479391,0.520609,-0.041218,-0.103151,0.061933,0.087524
1984,ME-02,1,,,97065,161028,0.376085,0.623915,-0.247829,-0.182467,-0.065362,-0.127295
1988,ME-02,1,,,112491,137839,0.449371,0.550629,-0.101258,-0.076649,-0.024609,0.040753
1992,ME-02,1,,,118229,90807,0.565592,0.434408,0.131183,0.070701,0.060482,0.085091
1996,ME-02,1,,,147735,85527,0.633344,0.366656,0.266687,0.094868,0.171819,0.111337
2000,ME-02,1,,,143658,137998,0.510048,0.489952,0.020095,0.001493,0.018603,-0.153216
2004,ME-02,1,,,185139,164377,0.529701,0.470299,0.059402,-0.025928,0.085330,0.066727
2008,ME-02,1,,,189778,150669,0.557438,0.442562,0.114875,0.074600,0.040276,-0.045055
2012,ME-02,1,,,177283,148845,0.543599,0.456401,0.087199,0.039218,0.047981,0.007705
2016,ME-02,1,,,143739,180818,0.442878,0.557122,-0.114245,0.021495,-0.135740,-0.183721
2020,ME-02,1,,,168696,196692,0.461690,0.538310,-0.076620,0.045360,-0.121980,0.013760
2024,ME-02,1,,,176789,212763,0.453826,0.546174,-0.092347,-0.014997,-0.077350,0.044629
1976,ME-AL,2,49.568821,50.431179,232279,236320,0.495688,0.504312,-0.008624,0.022747,-0.031371,0
1980,ME-AL,2,48.090517,51.909483,220974,238522,0.480905,0.519095,-0.038190,-0.103151,0.064962,0.096332
1984,ME-AL,2,38.930882,61.069118,214515,336500,0.389309,0.610691,-0.221382,-0.182467,-0.038915,-0.103877
1988,ME-AL,2,44.228981,55.771019,243569,307131,0.442290,0.557710,-0.115420,-0.076649,-0.038771,0.000144
1992,ME-AL,2,56.055873,43.944127,263420,206504,0.560559,0.439441,0.121117,0.070701,0.050416,0.089188
1996,ME-AL,2,62.662120,37.337880,312788,186378,0.626621,0.373379,0.253242,0.094868,0.158374,0.107958
2000,ME-AL,2,52.747842,47.252158,319951,286616,0.527478,0.472522,0.054957,0.001493,0.053464,-0.104910
2004,ME-AL,2,54.583016,45.416984,396842,330201,0.545830,0.454170,0.091660,-0.025928,0.117588,0.064124
2008,ME-AL,2,58.829525,41.170475,421923,295273,0.588295,0.411705,0.176590,0.074600,0.101991,-0.015598
2012,ME-AL,2,57.805439,42.194561,399235,291418,0.578054,0.421946,0.156109,0.039218,0.116890,0.014900
2016,ME-AL,2,51.433526,48.566474,354718,334945,0.514335,0.485665,0.028671,0.021495,0.007175,-0.109715
2020,ME-AL,2,54.670405,45.329595,435072,360737,0.546704,0.453296,0.093408,0.045360,0.048048,0.040873
2024,ME-AL,2,53.544306,46.455694,435652,377977,0.535443,0.464557,0.070886,-0.014997,0.085883,0.037834
1976,NE-01,1,,,81590,116030,0.412863,0.587137,-0.174274,0.022747,-0.197021,0
1980,NE-01,1,,,59729,133971,0.308358,0.691642,-0.383283,-0.103151,-0.280132,-0.083111
1984,NE-01,1,,,69923,144198,0.326558,0.673442,-0.346883,-0.182467,-0.164416,0.115716
1988,NE-01,1,,,96134,123674,0.437354,0.562646,-0.125291,-0.076649,-0.048642,0.115774
1992,NE-01,1,,,80938,107360,0.429840,0.570160,-0.140320,0.070701,-0.211021,-0.162379
1996,NE-01,1,,,87712,114563,0.433627,0.566373,-0.132745,0.094868,-0.227614,-0.016592
2000,NE-01,1,,,86773,142161,0.379031,0.620969,-0.241939,0.001493,-0.243431,-0.015818
2000,NE-01,1,,,86773,142161,0.379031,0.620969,-0.241939,0.001493,-0.243431,0.000000
2004,NE-01,1,,,96314,169888,0.361808,0.638192,-0.276384,-0.025928,-0.250456,-0.007025
2008,NE-01,1,,,121411,148179,0.450354,0.549646,-0.099292,0.074600,-0.173891,0.076565
2012,NE-01,1,,,108082,152021,0.415535,0.584465,-0.168929,0.039218,-0.208148,-0.034256
2016,NE-01,1,,,100126,158626,0.386957,0.613043,-0.226085,0.021495,-0.247580,-0.039433
2020,NE-01,1,,,132261,180290,0.423166,0.576834,-0.153668,0.045360,-0.199027,0.048553
2024,NE-01,1,,,136153,177666,0.433858,0.566142,-0.132283,-0.014997,-0.117287,0.081741
1976,NE-02,1,,,75884,114991,0.397559,0.602441,-0.204883,0.022747,-0.227630,0
1980,NE-02,1,,,61448,124810,0.329908,0.670092,-0.340184,-0.103151,-0.237033,-0.009403
1984,NE-02,1,,,70238,144901,0.326477,0.673523,-0.347045,-0.182467,-0.164578,0.072454
1988,NE-02,1,,,94071,130193,0.419465,0.580535,-0.161069,-0.076649,-0.084420,0.080158
1992,NE-02,1,,,78816,115380,0.405858,0.594142,-0.188284,0.070701,-0.258985,-0.174565
1996,NE-02,1,,,84667,116889,0.420067,0.579933,-0.159866,0.094868,-0.254735,0.004250
2000,NE-02,1,,,89148,131886,0.403323,0.596677,-0.193355,0.001493,-0.194847,0.059887
2000,NE-02,1,,,89148,131886,0.403323,0.596677,-0.193355,0.001493,-0.194847,0.000000
2004,NE-02,1,,,97858,153041,0.390029,0.609971,-0.219941,-0.025928,-0.194013,0.000834
2008,NE-02,1,,,138809,135439,0.506144,0.493856,0.012288,0.074600,-0.062312,0.131701
