abbreviation,pvi_2024,2024_margin,evs_2024,2024_relative_margin,2024_national_margin,pvi_2024_label
AK,-0.12221875578030404,-0.1369312508474993,3,-0.1219345594132992,-0.014996691434200102,R+12.2
AL,-0.2948316680115264,-0.3088122385938789,9,-0.2938155471596788,-0.014996691434200102,R+29.5
AR,-0.29958719394947536,-0.31339986472296744,6,-0.2984031732887673,-0.014996691434200102,R+30.0
AZ,-0.041184388693589126,-0.0558831792173336,11,-0.0408864877831335,-0.014996691434200102,R+4.1
CA,0.22384038562927108,0.2080028514359668,54,0.2229995428701669,-0.014996691434200102,D+22.4
CO,0.12662982244833984,0.11293083462132919,10,0.1279275260555293,-0.014996691434200102,D+12.7
CT,0.16265132709324023,0.1475646497251834,7,0.1625613411593835,-0.014996691434200102,D+16.3
DC,0.8713593185652648,0.8662949112005608,3,0.8812916026347609,-0.014996691434200102,D+87.1
DE,0.16428636142618608,0.1495847128299634,3,0.1645814042641635,-0.014996691434200102,D+16.4
FL,-0.11585149138828335,-0.1322213886698458,30,-0.1172246972356457,-0.014996691434200102,R+11.6
GA,-0.008674267728688002,-0.0220873230279627,16,-0.0070906315937626,-0.014996691434200102,R+0.9
HI,0.2524612790253548,0.23560651661223,4,0.2506032080464301,-0.014996691434200102,D+25.2
IA,-0.1191407505320036,-0.1344559770959623,6,-0.1194592856617622,-0.014996691434200102,R+11.9
ID,-0.36022574502181054,-0.37521841180253074,4,-0.3602217203683306,-0.014996691434200102,R+36.0
IL,0.12650383867673187,0.11135530816543429,19,0.1263519995996344,-0.014996691434200102,D+12.7
IN,-0.17901670660277752,-0.1930491166629102,11,-0.1780524252287101,-0.014996691434200102,R+17.9
KS,-0.15046764321466127,-0.1641147389455031,6,-0.149118047511303,-0.014996691434200102,R+15.0
KY,-0.29562028992394673,-0.3102814203220417,8,-0.2952847288878416,-0.014996691434200102,R+29.6
LA,-0.2106499033505554,-0.2235702081883186,8,-0.2085735167541185,-0.014996691434200102,R+21.1
MA,0.2752565647094851,0.2591063884083852,11,0.2741030798425853,-0.014996691434200102,D+27.5
MD,0.30957950145426405,0.29509514054361846,10,0.3100918319778186,-0.014996691434200102,D+31.0
ME,0.08539175286925536,0.0708861163994892,4,0.0858828078336893,-0.014996691434200102,D+8.5
MI,0.00018758406685024973,-0.014424736578339302,15,0.0005719548558608,-0.014996691434200102,D+0.0
MN,0.05735100334052793,0.04343404352188959,10,0.0584307349560897,-0.014996691434200102,D+5.7
MO,-0.17282089906875567,-0.1867472062616317,10,-0.1717505148274316,-0.014996691434200102,R+17.3
MS,-0.21678367972182255,-0.2314502821118368,6,-0.2164535906776367,-0.014996691434200102,R+21.7
MT,-0.1909564396274917,-0.2057809704016369,4,-0.1907842789674368,-0.014996691434200102,R+19.1
NC,-0.01902816602305027,-0.032606802026008005,16,-0.0176101105918079,-0.014996691434200102,R+1.9
ND,-0.3599387012961289,-0.3739298613278637,3,-0.3589331698936636,-0.014996691434200102,R+36.0
NE,-0.19567993772835576,-0.2084068330389779,5,-0.1934101416047778,-0.014996691434200102,R+19.6
NH,0.04322275410741888,0.028212149467267595,4,0.0432088409014677,-0.014996691434200102,D+4.3
NJ,0.07721706599162606,0.0602774743323352,14,0.0752741657665353,-0.014996691434200102,D+7.7
NM,0.07655850836194855,0.0614181222864731,5,0.0764148137206732,-0.014996691434200102,D+7.7
NV,-0.01651407771528432,-0.0315901790851701,6,-0.01659348765097,-0.014996691434200102,R+1.7
NY,0.1438203434530819,0.1268948611713894,28,0.1418915526055895,-0.014996691434200102,D+14.4
OH,-0.0991798343973541,-0.1131322942727406,17,-0.0981356028385405,-0.014996691434200102,R+9.9
OK,-0.3359791386851842,-0.3494008381234161,7,-0.334404146689216,-0.014996691434200102,R+33.6
OR,0.16206505054816764,0.1486611606977519,8,0.163657852131952,-0.014996691434200102,D+16.2
PA,-0.0031565767376414374,-0.017263846921271402,19,-0.0022671554870713,-0.014996691434200102,R+0.3
RI,0.15730500254744975,0.1416240626789067,4,0.1566207541131068,-0.014996691434200102,D+15.7
SC,-0.1658974086203107,-0.1812336522703813,9,-0.1662369608361812,-0.014996691434200102,R+16.6
SD,-0.2848773923511507,-0.2989019907385305,3,-0.2839052993043304,-0.014996691434200102,R+28.5
TN,-0.28612770542176835,-0.30121099654993333,11,-0.2862143051157332,-0.014996691434200102,R+28.6
TX,-0.12297646700428179,-0.13878067801618452,40,-0.1237839865819844,-0.014996691434200102,R+12.3
UT,-0.2094979021559947,-0.2221069923339859,6,-0.2071103008997858,-0.014996691434200102,R+20.9
VA,0.07347984889878892,0.0590207868531316,13,0.0740174782873317,-0.014996691434200102,D+7.3
VT,0.34272707757067833,0.3277043577168019,3,0.342701049151002,-0.014996691434200102,D+34.3
WA,0.20214014962007842,0.1892955147941152,12,0.2042922062283153,-0.014996691434200102,D+20.2
WI,0.004241284984860301,-0.008733887823450501,10,0.0062628036107496,-0.014996691434200102,D+0.4
WV,-0.4116934380615149,-0.42687784560047604,4,-0.4118811541662759,-0.014996691434200102,R+41.2
WY,-0.455719170708089,-0.46958346048214833,3,-0.4545867690479482,-0.014996691434200102,R+45.6
