abbr,D_votes,R_votes
AL,772412,1462616
AK,140026,184458
AZ,1582860,1770242
AR,396905,759241
CA,9276179,6081697
CO,1728159,1377441
CT,992053,736918
DE,289758,214351
DC,294185,21076
FL,4683038,6110125
GA,2548017,2663117
HI,313044,193661
ID,274972,605246
IL,3062863,2449079
IN,1163603,1720347
IA,707278,927019
KS,544853,758802
KY,704043,1337494
LA,766870,1208505
ME,435652,377977
MD,1902577,1035550
MA,2126518,1251303
MI,2736533,2816636
MN,1656979,1519032
MS,466668,747744
MO,1200599,1751986
MT,231906,352079
NE,369995,564816
NV,705197,751205
NH,418488,395523
NJ,2220713,1968215
NM,478802,423391
NY,4619195,3578899
NC,2715375,2898423
ND,112327,246505
OH,2533699,3180116
OK,499599,1036213
OR,1240600,919480
PA,3423042,3543308
RI,285156,214406
SC,1028452,1483747
SD,146859,272081
TN,1056265,1966865
TX,4835250,6393597
UT,562566,883818
VT,235791,119395
VA,2335395,2075085
WA,2245849,1530923
WV,214309,533556
WI,1668229,1697626
WY,69527,192633
