year,abbr,district,R_votes,D_votes,T_votes
1964,AL,1,64912,0,88971
1964,AL,2,62775,0,79877
1964,AL,3,55809,0,73563
1964,AL,4,49690,0,68518
1964,AL,7,64787,0,107241
1964,AL,8,39453,0,78184
1964,AK,AL,22930,44329,67259
1964,AZ,1,143114,122042,265326
1964,AZ,2,69606,82888,152717
1964,AZ,3,29815,32823,62727
1964,AR,1,33897,49062,83210
1964,AR,2,75121,96690,172726
1964,AR,3,54225,67277,122062
1964,AR,4,80021,101168,182428
1964,CA,1,89232,151432,241163
1964,CA,2,77167,119672,197058
1964,CA,3,77871,149668,227871
1964,CA,4,44222,78156,122495
1964,CA,11,77916,140978,219191
1964,CA,12,60765,92838,153911
1964,CA,13,78284,106186,184724
1964,CA,14,65011,113071,178245
1964,CA,15,58519,102288,160967
1964,CA,16,60067,118197,178439
1964,CA,18,73294,111221,184700
1964,CA,33,92145,123012,215400
1964,CA,38,71495,91671,163280
1964,CO,1,73279,143480,218288
1964,CO,2,90403,130786,222121
1964,CO,3,62524,103940,167334
1964,CO,4,70561,97818,169042
1964,CT,2,58119,132501,190817
1964,DE,AL,78078,122704,201320
1964,DC,AL,28801,169796,198597
1964,FL,1,72911,51478,124389
1964,FL,2,81116,79365,160481
1964,FL,5,77261,79677,156938
1964,FL,6,157828,130737,288565
1964,FL,7,89503,70131,159634
1964,FL,8,42321,40736,83057
1964,FL,9,44819,32918,77737
1964,FL,10,50616,71289,121905
1964,FL,11,86830,75951,162781
1964,FL,12,80414,98381,178795
1964,GA,1,75152,50641,125797
1964,GA,2,63869,27295,91176
1964,GA,3,51055,30346,81416
1964,GA,6,72808,61928,134765
1964,GA,7,66028,68392,134492
1964,GA,8,63079,42555,105641
1964,GA,9,41642,61159,102838
1964,GA,10,58795,47574,106377
1964,HI,AL,22011,81625,103636
1964,HI,AL,22011,81624,103635
1964,ID,1,48870,64132,113002
1964,ID,2,94687,84788,179475
1964,IL,12,86396,84493,170931
1964,IL,14,137490,115892,253382
1964,IL,15,90630,90559,181190
1964,IL,16,81636,88021,169657
1964,IL,17,85268,89953,175221
1964,IL,18,74951,99018,173969
1964,IL,19,66334,93225,159562
1964,IL,20,95009,126260,221285
1964,IL,21,73384,111958,185342
1964,IL,22,65389,92593,157982
1964,IL,23,95506,128560,224066
1964,IL,24,58235,139120,197355
