,centroid_3,centroid_1,centroid_2,centroid_5,centroid_4
AK,Red,,,,red
AZ,red,lblue,red,blue,
GA,Blue,blue,lblue,Blue,red
IA,RED,Red,red,RED,lred
KS,RED,Red,,,red
ME-02,blue,RED,blue,red,Red
ME-AL,BLUE,blue,BLUE,Blue,blue
MI,Blue,blue,,lblue,
MO,RED,,Red,RED,
MT,RED,,Red,RED,Red
NC,blue,,,,red
NE-01,RED,Red,red,RED,blue
NE-02,blue,BLUE,Blue,blue,BLUE
NE-AL,RED,,,,Red
NH,Blue,blue,Blue,,
NJ,BLUE,,Blue,,
NM,Blue,BLUE,Blue,,BLUE
NV,red,blue,,Blue,
OH,red,Red,red,Red,
SC,Red,RED,,Red,RED
UT,RED,,,,Red
WI,blue,,Blue,red,Blue
