abbr,relative_margin,electoral_votes
NE-03,-0.5164432892725364,1.0
WY,-0.45089918534905904,3.0
WV,-0.41168553844085476,4.0
AR,-0.3688868826074183,6.0
ID,-0.3421341006432239,4.0
OK,-0.33807793530784347,7.0
TN,-0.3207650648065493,11.0
AL,-0.31402163694200075,9.0
KY,-0.3089842468201206,8.0
ND,-0.29392405558016327,3.0
SD,-0.2455617104580865,3.0
LA,-0.2381813213726256,8.0
MS,-0.23393177715136795,6.0
SC,-0.19117933533826845,9.0
UT,-0.18045441984834265,6.0
NE-AL,-0.17129377266602122,2.0
MO,-0.16887438348746675,10.0
MT,-0.1523031954482545,4.0
AK,-0.1407389097257155,3.0
IN,-0.1375899373647115,11.0
KS,-0.13624895383869084,6.0
FL,-0.12569837886911836,30.0
TX,-0.11890948683623326,40.0
OH,-0.09451515738154892,17.0
NE-01,-0.09360350159654639,1.0
IA,-0.08266693119607771,6.0
ME-02,-0.08019493087312426,1.0
AZ,-0.06106312928709033,11.0
GA,-0.03171320866063666,16.0
NC,-0.01890195886852509,16.0
NV,-0.00797896676882488,6.0
PA,-0.0009032349080678181,19.0
MI,0.0156047797997146,15.0
NH,0.04000752717028548,4.0
WI,0.041314591610758906,10.0
MN,0.06190986952818198,10.0
ME-AL,0.074600086620572,2.0
NJ,0.07469724952564873,14.0
VA,0.08228731750276674,13.0
NM,0.0900341717763184,5.0
NE-02,0.09616547287101908,1.0
IL,0.13689949633790696,19.0
CO,0.13866206046731244,10.0
NY,0.14995928116096915,28.0
RI,0.16294106616606327,4.0
DE,0.17546273907729845,3.0
CT,0.17706798672490046,7.0
OR,0.18191434671738993,8.0
WA,0.21089917016675735,12.0
CA,0.22737696779958505,54.0
ME-01,0.22939510411426828,1.0
MA,0.25578668649019354,11.0
MD,0.30309802071401887,10.0
HI,0.33395208463909376,4.0
VT,0.3504343966122652,3.0
DC,0.8688926416625442,3.0
