,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5
AK,Red,lblue,red,red,red
AL,RED,RED,RED,RED,RED
AR,RED,RED,Red,RED,RED
AZ,blue,Blue,Blue,Blue,blue
CA,BLUE,BLUE,BLUE,BLUE,BLUE
CO,BLUE,BLUE,BLUE,BLUE,BLUE
CT,BLUE,BLUE,BLUE,BLUE,BLUE
DC,BLUE,BLUE,BLUE,BLUE,BLUE
DE,BLUE,BLUE,BLUE,BLUE,BLUE
FL,red,red,lblue,red,red
GA,lred,blue,Blue,blue,Blue
HI,BLUE,BLUE,BLUE,BLUE,BLUE
IA,lblue,red,RED,Red,Red
ID,RED,RED,RED,RED,RED
IL,BLUE,BLUE,BLUE,BLUE,BLUE
IN,Red,RED,RED,RED,RED
KS,red,red,Red,red,Red
KY,RED,RED,RED,RED,RED
LA,RED,RED,Red,RED,Red
MA,BLUE,BLUE,BLUE,BLUE,BLUE
MD,BLUE,BLUE,BLUE,BLUE,BLUE
ME,Blue,BLUE,Blue,blue,BLUE
MI,blue,blue,lblue,red,blue
MN,Blue,BLUE,Blue,Blue,BLUE
MO,RED,Red,RED,RED,Red
MS,RED,RED,RED,RED,RED
MT,Red,red,RED,RED,RED
NC,blue,blue,blue,blue,Blue
ND,RED,RED,RED,RED,RED
NE,red,Red,RED,Red,RED
NH,BLUE,BLUE,BLUE,BLUE,BLUE
NJ,BLUE,Blue,BLUE,BLUE,BLUE
NM,BLUE,BLUE,BLUE,BLUE,BLUE
NV,Blue,BLUE,BLUE,BLUE,blue
NY,BLUE,BLUE,BLUE,BLUE,BLUE
OH,red,red,red,Red,red
OK,RED,RED,RED,RED,RED
OR,BLUE,BLUE,BLUE,BLUE,BLUE
PA,Blue,Blue,blue,Blue,blue
RI,BLUE,BLUE,BLUE,Blue,BLUE
SC,RED,RED,Red,RED,Red
SD,RED,RED,RED,RED,RED
TN,RED,RED,RED,RED,RED
TX,red,red,red,red,red
UT,Red,red,Red,lblue,RED
VA,BLUE,BLUE,BLUE,BLUE,BLUE
VT,BLUE,BLUE,BLUE,BLUE,BLUE
WA,BLUE,BLUE,BLUE,BLUE,BLUE
WI,Blue,blue,red,blue,blue
WV,RED,RED,RED,RED,RED
WY,RED,RED,RED,RED,RED
