abbr,count,mean,median,variance,std_dev
AK,31,0.003158064094857003,0.009411597991744597,0.0029408250846523474,0.054229374739640394
AL,31,-0.013548161086595213,-0.018607625308049117,0.0028676050814681183,0.05355002410333835
ALL,1581,-0.0007776422474457803,0.0010629342801252162,0.004030212163742527,0.06348395201736047
AR,31,-0.01889360649243346,-0.02198726875476889,0.007276224864901281,0.08530079052916967
AZ,31,0.005618345366334172,0.0034708145383699016,0.0017715791740406822,0.04209013155171509
CA,31,0.009398723363539611,0.0065635475853073,0.0035683816467527367,0.059735932626458065
CO,31,0.007421228557068923,0.01799584451219151,0.002789820191826474,0.05281874848788519
CT,31,0.007795319814503573,0.007514029828686389,0.001730860212040676,0.041603608161320284
DC,31,0.0066854496555161244,-0.002458029691998931,0.003476720472350763,0.058963721662991755
DE,31,0.007699538597527652,0.006268148778586002,0.005092511385781292,0.07136183423778632
FL,31,-0.0018898196685960304,-0.0016209971346626065,0.002073409107192178,0.04553470223019118
GA,31,-0.009798506984296693,-0.0017694492651175002,0.004117235487457309,0.06416568777358589
HI,31,0.011974760148523281,-0.004690342461293573,0.010626308988855854,0.10308398997349615
IA,31,-4.458827931371897e-05,0.0036334953484522016,0.0036296400055972986,0.06024649372035935
ID,31,-0.006356598960460303,0.00268088055580068,0.005597518577483474,0.07481656619682217
IL,31,0.005810131821201132,0.002661608154090403,0.0010112243126810011,0.0317997533430843
IN,31,-0.0038059059741487097,-0.0030153007056291925,0.0018988218864784863,0.043575473450996334
KS,31,-0.004886364149776642,-0.006933122930904312,0.004697561596766084,0.06853875981345216
KY,31,-0.011149463510565581,-0.015975872526416468,0.0030597089816356755,0.05531463623342086
LA,31,-0.008740320394673994,-0.0012107366952820164,0.0032677196699209266,0.05716397178224171
MA,31,0.005496876671404884,-6.673833043929767e-05,0.0023079359132424228,0.048040981601570366
MD,31,0.008354716988855936,0.014870633458545779,0.0024088125728944395,0.049079655386875316
ME,31,0.0014600184770337818,0.0303127122783603,0.010958155491217139,0.10468120887349906
MI,31,0.0042639258768041146,0.008516088611567399,0.001344676347923784,0.036669828850483935
MN,31,-0.004390979241503855,-0.002747316917608801,0.0012934841277784347,0.03596504035557912
MO,31,-0.0026343013386570676,-0.004355979282637312,0.0022225770279630805,0.04714421521208175
MS,31,-0.005871376526828123,-0.008011232682428815,0.0024490312861875654,0.04948768822836207
MT,31,-0.0016407469842599847,0.011172291017713498,0.005329172836305486,0.07300118380071302
NC,31,-0.00512629077648617,0.0022828027947871046,0.00129560499496814,0.035994513400907924
ND,31,-0.01115884778617698,0.0068617630299320775,0.016412693101141452,0.12811203339710697
NE,31,0.002185358806765142,-0.0035633694571655106,0.00779153630417173,0.08826967941582053
NH,31,0.006596793212638639,0.0170764661629245,0.003914800769413655,0.06256836876100938
NJ,31,0.005479283476417499,-0.0002713618703061027,0.0020537489414221228,0.04531830691257257
NM,31,0.0045608316834366445,0.003406045373473096,0.0008947604013937568,0.02991254588619559
NV,31,0.005475192229782945,0.004303907970727799,0.004164054223025518,0.06452948336245624
NY,31,0.006152452646851932,0.007826266183021124,0.0031303167545008517,0.05594923372577011
OH,31,-0.0007560176572669387,-0.0006119703368624996,0.0010308021601477502,0.03210610783243198
OK,31,-0.011396188430094576,-0.033701763728504086,0.00511484204391137,0.07151812388416917
OR,31,0.004221699904895955,0.0018025474649704001,0.0016612335770747556,0.040758233242803296
PA,31,0.0015087521521312877,-0.0011568709187611062,0.0009550291167881028,0.03090354537570249
RI,31,0.0038270305721770192,-0.0037150471425640985,0.003597583154828816,0.05997985624214863
SC,31,-0.009311963384259332,-0.01005558076577262,0.0025852357688191546,0.05084521382410693
SD,31,-0.016935603214270983,-0.004828048887550451,0.01224513128168989,0.11065772129268653
TN,31,-0.008483146346585943,-0.019174514891634797,0.005763342754399709,0.07591668297811562
TX,31,-0.007513794402089032,-0.006221729696156392,0.0020950347714055054,0.04577154980340414
UT,31,-0.0016191922909980971,0.01167740185534033,0.01126117769090412,0.10611869623635657
VA,31,0.004064884131992313,0.006455098992201199,0.0007156571941991568,0.026751769926476956
VT,31,0.015361574847632278,0.022179021328207427,0.0042548050132521185,0.06522886641090828
WA,31,0.007084582551090369,0.006776405254308608,0.0016088926523240505,0.04011100413008942
WI,31,0.00040449883759012854,-0.004231565523050599,0.003084724947624467,0.05554030021186838
WV,31,-0.018527357628625105,-0.011950021870587996,0.00863503671932812,0.09292489827451048
WY,31,-0.007240647597344597,-0.011837732326390682,0.0047894117403206515,0.06920557593374
