abbr,count,mean,median,variance,std_dev
AK,12,0.011554083301098007,0.0232065895021802,0.004542284433532633,0.06739647196651048
AL,12,-0.03370025359682659,-0.026247820703175703,0.0021925009128224778,0.0468241488211209
ALL,612,-0.0019303171333188685,0.004765161759509546,0.004544959154327407,0.06741631222728968
AR,12,-0.0480527682748243,-0.02538353543982873,0.011969337143532162,0.10940446582992927
AZ,12,0.012843879675804087,0.020237720852322692,0.002577564123355655,0.050769716597157157
CA,12,0.022008589380115812,0.024815639337334598,0.0031431849055594857,0.056064114240389866
CO,12,0.022402115520223417,0.025466827259295943,0.002926917139711233,0.054100990191596615
CT,12,0.019792388236542658,0.012406134954324355,0.0022438697060057837,0.04736950185515765
DC,12,0.02004034487104725,0.024700269423686916,0.006593831537763411,0.08120241091102783
DE,12,0.011060468836064543,0.031126489095005455,0.0031567380576595196,0.05618485612386597
FL,12,-0.012340145926864244,-0.02089824921173395,0.0022455696835127475,0.04738744225544092
GA,12,-0.026925795435437678,-0.0037157292485940976,0.008553224881032022,0.0924836465599839
HI,12,0.020641463902941776,-0.0013602154350797757,0.012917049925628326,0.11365320024367254
IA,12,-0.007199082086988034,0.0005312288541328494,0.007195444699972248,0.0848259671325488
ID,12,-0.008567910357881042,-0.00907416500553851,0.004249172100963885,0.06518567404701653
IL,12,0.014096304835606747,0.0164058089612326,0.0010331044692768144,0.03214194252494417
IN,12,-0.0065274904599962325,-0.008058650789635052,0.00313059478261618,0.05595171831692196
KS,12,-0.004071687392140126,0.006628454269682046,0.0051923893296622935,0.0720582356824138
KY,12,-0.02880152652215434,-0.023387875518884008,0.0021286673624816214,0.04613748326991429
LA,12,-0.020418169679739414,5.0927080684604054e-05,0.004214790192915884,0.06492141551842415
MA,12,0.011213134997943783,0.01005965126058489,0.002716098181435056,0.05211619883908511
MD,12,0.02267753475532915,0.02902574007376467,0.0022771209983764125,0.047719188995375986
ME,12,0.009771114110871316,0.026829933203365405,0.0063160226393838455,0.07947340837905371
MI,12,0.006516201617343284,0.010067303414608847,0.0022034766618768934,0.046941204307909414
MN,12,-0.004305160077372784,0.009487463048561903,0.0018224471076202238,0.042690128924848934
MO,12,-0.015486806148979,-0.01129711109840425,0.0020985618535598704,0.04581006279803457
MS,12,-0.017755364808153658,-0.017114716114044512,0.003899700336902216,0.0624475807129645
MT,12,-0.007695864374404474,-0.01614951015956465,0.007832969205381455,0.08850406321396467
NC,12,-0.008827414750520667,0.0036006260208163478,0.0025031130143193686,0.0500311204583644
ND,12,-0.022952164686278382,0.030251483921726247,0.016975095357308092,0.13028850815520182
NE,12,0.003488822574834826,-0.0025547572678408514,0.006272576801124194,0.07919960101619322
NH,12,0.01506174029271873,0.010900050687214795,0.0036750921961856667,0.06062253868146456
NJ,12,0.010002876566700685,-0.003318977804143905,0.003193455206942851,0.05651066454168497
NM,12,0.010338095633875707,0.0075806617195551,0.0013909177847318385,0.03729501018543685
NV,12,0.0042951178733511034,0.0142139188557628,0.008234138461539257,0.09074215371887123
NY,12,0.007977886998867534,0.013215977477315621,0.00221750106318459,0.04709035000065927
OH,12,-0.006476309268054509,-0.005803294162070798,0.0014381603541000704,0.037923084712349946
OK,12,-0.02494606273348693,-0.0345698833115269,0.004655045766421711,0.06822789580825214
OR,12,0.015679024935434785,0.018753821901067197,0.0019849990261554154,0.044553327890915345
PA,12,-0.0005552461479736993,-0.008757567346213847,0.0014801292846720613,0.03847244838416267
RI,12,0.005493349274320433,0.006828976033315851,0.005422413816168448,0.07363704106065404
SC,12,-0.022901013181636704,-0.014112734062177265,0.0036381331104124058,0.060316938834894515
SD,12,-0.020524802367781356,0.0057577527246477495,0.009103865444768199,0.0954141784263125
TN,12,-0.03291051776429232,-0.03384667954663313,0.003010627624902743,0.05486918647932319
TX,12,-0.01108392229955564,-0.014015774559988148,0.002260217027175827,0.04754173984169938
UT,12,0.009603154192246834,0.011346331997946962,0.014489324753781745,0.12037161107911509
VA,12,0.00920773657928864,0.013598402980901446,0.000918012779448115,0.030298725706671477
VT,12,0.04101839740891668,0.0333760258575588,0.0048716529954474655,0.06979722770603046
WA,12,0.02228708842825645,0.018570008679423697,0.0010455254749542834,0.0323345863581751
WI,12,0.000981409484634592,0.027210089967882347,0.0030605867215706766,0.0553225697303612
WV,12,-0.045877045293171985,-0.03809154931857505,0.004735526601007341,0.06881516258069395
WY,12,-0.019595974449127043,-0.010734006005221355,0.00591789859472037,0.07692787917732016
