rank,PC1_abbr,PC1_val,PC2_abbr,PC2_val,PC3_abbr,PC3_val,PC4_abbr,PC4_val,PC5_abbr,PC5_val,PC6_abbr,PC6_val,PC7_abbr,PC7_val
1,WV,-0.189,MA,-0.244,NY,-0.285,CT,-0.380,IL,-0.352,ID,-0.302,CA,-0.348
2,MO,-0.184,AZ,-0.221,HI,-0.248,DE,-0.292,UT,-0.224,NH,-0.283,RI,-0.173
3,RI,-0.184,LA,-0.173,FL,-0.206,IN,-0.234,DC,-0.193,MA,-0.229,OK,-0.171
4,KY,-0.183,NJ,-0.167,IL,-0.205,NE,-0.184,ID,-0.153,SC,-0.192,MI,-0.164
5,TN,-0.178,OK,-0.132,NJ,-0.189,KS,-0.180,MA,-0.132,TX,-0.187,ME,-0.139
6,PA,-0.177,AL,-0.123,NV,-0.165,IL,-0.178,AR,-0.132,MT,-0.139,NE,-0.138
7,IA,-0.176,DC,-0.112,CA,-0.156,UT,-0.177,WY,-0.125,CT,-0.124,MN,-0.121
8,AR,-0.168,AR,-0.104,NM,-0.085,HI,-0.120,MT,-0.124,NJ,-0.091,CT,-0.102
9,OH,-0.167,TN,-0.095,MS,-0.053,GA,-0.075,NV,-0.103,DE,-0.064,MA,-0.100
10,AL,-0.166,FL,-0.064,IA,-0.026,MO,-0.067,WV,-0.088,VT,-0.055,NJ,-0.093
11,FL,-0.158,CT,-0.061,IN,-0.009,MI,-0.058,MO,-0.081,FL,-0.052,KS,-0.090
12,MI,-0.155,GA,-0.053,VT,-0.000,AL,-0.056,PA,-0.076,CO,-0.047,WY,-0.089
13,SD,-0.147,TX,-0.053,OH,+0.005,TN,-0.055,TX,-0.068,KY,-0.033,SD,-0.088
14,MS,-0.147,UT,-0.051,TX,+0.005,WV,-0.052,WI,-0.063,WY,-0.033,MS,-0.079
15,WY,-0.146,RI,-0.037,ND,+0.009,RI,-0.051,KY,-0.060,SD,-0.033,TN,-0.078
16,OK,-0.137,CA,-0.031,MI,+0.016,ND,-0.048,FL,-0.058,ND,-0.027,AK,-0.076
17,LA,-0.136,KS,-0.025,RI,+0.023,OK,-0.047,SD,-0.051,AZ,-0.024,DC,-0.075
18,ND,-0.134,KY,-0.023,VA,+0.024,KY,-0.037,TN,-0.041,TN,-0.019,AZ,-0.060
19,NY,-0.127,MD,-0.022,DC,+0.031,SD,-0.032,AZ,-0.035,WV,-0.012,IA,-0.056
20,WI,-0.104,MS,-0.006,MT,+0.034,NM,-0.030,OR,-0.022,RI,-0.009,OH,-0.053
21,IN,-0.084,NY,-0.002,WI,+0.041,WI,-0.030,NH,-0.011,VA,+0.008,LA,-0.053
22,ME,-0.082,WV,+0.003,MD,+0.049,MT,-0.020,CA,-0.009,CA,+0.012,MO,-0.051
23,SC,-0.077,WA,+0.021,NC,+0.053,WY,-0.019,WA,-0.008,AK,+0.015,UT,-0.047
24,NJ,-0.074,AK,+0.030,SC,+0.058,NJ,-0.010,MI,-0.004,NY,+0.020,TX,-0.039
25,CT,-0.033,MO,+0.038,SD,+0.068,TX,-0.001,LA,+0.000,MI,+0.022,KY,-0.038
26,MN,-0.032,VA,+0.046,AK,+0.068,MD,+0.001,ND,+0.004,UT,+0.023,NY,-0.037
27,NV,-0.006,PA,+0.070,AL,+0.077,VA,+0.014,KS,+0.004,MO,+0.025,WI,-0.029
28,MT,+0.004,CO,+0.078,ID,+0.078,PA,+0.018,OH,+0.006,IA,+0.027,FL,-0.016
29,IL,+0.025,SC,+0.103,WV,+0.084,MA,+0.024,NM,+0.035,MD,+0.031,ID,-0.015
30,DE,+0.034,WY,+0.105,TN,+0.085,NY,+0.033,OK,+0.040,ME,+0.038,WA,-0.011
31,MA,+0.034,OR,+0.106,WA,+0.096,CA,+0.036,IA,+0.043,IL,+0.043,VA,-0.010
32,NH,+0.045,MN,+0.111,UT,+0.097,NV,+0.039,IN,+0.045,NV,+0.049,PA,-0.008
33,ID,+0.061,NC,+0.112,OR,+0.098,CO,+0.039,CO,+0.049,MN,+0.059,NV,-0.007
34,HI,+0.061,OH,+0.118,MO,+0.103,IA,+0.044,VT,+0.074,IN,+0.068,IL,+0.006
35,AZ,+0.094,IA,+0.122,DE,+0.106,AR,+0.045,MN,+0.076,AR,+0.079,NC,+0.017
36,KS,+0.100,NH,+0.156,CO,+0.107,AZ,+0.054,VA,+0.077,NM,+0.081,ND,+0.021
37,NE,+0.123,NE,+0.156,AR,+0.112,FL,+0.058,NC,+0.084,KS,+0.090,HI,+0.021
38,VT,+0.147,HI,+0.162,PA,+0.114,ID,+0.063,AK,+0.111,NE,+0.091,MD,+0.030
39,DC,+0.149,NM,+0.165,KY,+0.127,NC,+0.068,GA,+0.114,OR,+0.091,IN,+0.037
40,NM,+0.153,IL,+0.167,LA,+0.130,OR,+0.068,ME,+0.119,MS,+0.096,WV,+0.037
41,UT,+0.164,MI,+0.171,GA,+0.134,LA,+0.072,NY,+0.128,AL,+0.125,MT,+0.039
42,AK,+0.167,VT,+0.172,NE,+0.141,WA,+0.076,AL,+0.131,GA,+0.127,NH,+0.044
43,NC,+0.170,SD,+0.180,AZ,+0.155,VT,+0.130,NE,+0.168,OH,+0.167,OR,+0.059
44,OR,+0.173,DE,+0.185,ME,+0.156,DC,+0.151,MD,+0.187,HI,+0.173,NM,+0.119
45,GA,+0.174,ME,+0.206,MA,+0.160,OH,+0.158,SC,+0.192,LA,+0.175,VT,+0.122
46,CA,+0.178,ND,+0.207,CT,+0.200,NH,+0.165,MS,+0.207,OK,+0.188,SC,+0.133
47,CO,+0.179,IN,+0.225,OK,+0.201,ME,+0.184,RI,+0.209,PA,+0.211,DE,+0.150
48,WA,+0.184,WI,+0.231,WY,+0.203,MN,+0.191,HI,+0.228,WA,+0.245,GA,+0.157
49,MD,+0.187,ID,+0.247,NH,+0.277,AK,+0.249,CT,+0.281,WI,+0.264,CO,+0.166
50,TX,+0.190,NV,+0.253,KS,+0.304,MS,+0.311,DE,+0.299,NC,+0.273,AL,+0.496
51,VA,+0.192,MT,+0.278,MN,+0.321,SC,+0.419,NJ,+0.366,DC,+0.418,AR,+0.511
