rank,PC1_abbr,PC1_val,PC2_abbr,PC2_val,PC3_abbr,PC3_val,PC4_abbr,PC4_val,PC5_abbr,PC5_val,PC6_abbr,PC6_val,PC7_abbr,PC7_val
1,CA,-0.191,NM,-0.259,TX,-0.301,NY,-0.278,GA,-0.238,NC,-0.343,AK,-0.443
2,FL,-0.187,VA,-0.243,UT,-0.271,MS,-0.247,HI,-0.210,WA,-0.302,CA,-0.237
3,MD,-0.174,IL,-0.242,WA,-0.181,FL,-0.225,TX,-0.185,GA,-0.291,GA,-0.177
4,NJ,-0.164,HI,-0.227,ID,-0.161,AK,-0.206,NY,-0.184,HI,-0.251,LA,-0.156
5,DC,-0.151,NV,-0.224,VA,-0.136,SC,-0.205,NJ,-0.156,OK,-0.214,UT,-0.116
6,MA,-0.131,IN,-0.213,OR,-0.129,OH,-0.187,RI,-0.151,LA,-0.202,AL,-0.111
7,AZ,-0.119,DE,-0.182,GA,-0.120,VT,-0.168,NE,-0.131,WI,-0.178,RI,-0.091
8,NY,-0.103,NE,-0.161,IL,-0.120,IA,-0.129,ID,-0.117,AL,-0.162,SD,-0.064
9,CT,-0.076,MI,-0.128,CA,-0.117,NV,-0.128,DE,-0.092,NY,-0.157,WY,-0.055
10,TN,-0.068,CT,-0.105,MT,-0.114,CA,-0.109,ND,-0.090,AR,-0.120,DE,-0.052
11,AL,-0.066,WI,-0.104,AZ,-0.092,NC,-0.102,WY,-0.089,UT,-0.098,KS,-0.047
12,KS,-0.035,CA,-0.101,WY,-0.089,HI,-0.085,AL,-0.081,DC,-0.097,WA,-0.038
13,IL,-0.026,ND,-0.087,MA,-0.087,NJ,-0.081,MT,-0.078,NM,-0.093,WV,-0.037
14,UT,-0.014,NY,-0.080,AR,-0.071,ME,-0.080,LA,-0.074,IN,-0.090,MA,-0.036
15,VA,-0.009,MT,-0.070,VT,-0.062,NM,-0.051,ME,-0.073,NE,-0.082,MO,-0.032
16,GA,-0.006,NC,-0.069,CO,-0.057,DC,-0.031,IN,-0.070,OH,-0.060,CO,-0.032
17,RI,-0.005,UT,-0.060,NM,-0.055,ID,-0.016,VT,-0.064,IL,-0.043,MI,-0.031
18,TX,+0.004,KS,-0.052,AK,-0.046,MN,-0.015,MS,-0.056,PA,-0.039,OR,-0.026
19,HI,+0.019,SD,-0.040,LA,-0.038,ND,-0.008,MN,-0.053,WY,-0.036,ID,-0.024
20,OK,+0.025,MD,-0.038,DC,-0.025,WI,-0.002,SD,-0.049,MS,-0.034,DC,-0.022
21,LA,+0.026,CO,-0.029,MN,-0.009,MT,+0.001,KY,-0.049,WV,-0.026,TX,-0.021
22,DE,+0.049,OR,-0.025,NH,+0.001,WA,+0.001,CT,-0.036,ND,-0.017,NC,-0.019
23,WA,+0.051,IA,-0.022,SD,+0.016,NH,+0.005,OK,-0.025,CA,-0.015,TN,-0.016
24,NV,+0.058,VT,-0.021,NC,+0.025,LA,+0.005,MD,-0.020,RI,-0.000,PA,-0.012
25,AR,+0.060,FL,-0.010,ME,+0.032,OR,+0.006,VA,-0.015,ME,+0.001,ME,-0.008
26,MS,+0.064,MO,+0.002,ND,+0.041,RI,+0.016,SC,-0.007,MN,+0.003,NV,+0.003
27,NM,+0.072,ID,+0.004,WI,+0.044,MI,+0.017,AK,-0.007,SD,+0.005,NM,+0.006
28,PA,+0.080,NJ,+0.011,HI,+0.050,SD,+0.020,UT,+0.001,IA,+0.005,SC,+0.009
29,AK,+0.101,PA,+0.013,KY,+0.052,PA,+0.036,NM,+0.006,KY,+0.013,MD,+0.012
30,SC,+0.118,TX,+0.040,NV,+0.057,VA,+0.037,WV,+0.010,MI,+0.013,CT,+0.019
31,IN,+0.123,RI,+0.044,WV,+0.062,TX,+0.041,IA,+0.016,MO,+0.014,IA,+0.020
32,NE,+0.140,DC,+0.047,NE,+0.072,AR,+0.041,NH,+0.018,NJ,+0.020,FL,+0.022
33,OH,+0.155,GA,+0.066,IN,+0.080,IL,+0.042,AZ,+0.040,MT,+0.031,OK,+0.023
34,NC,+0.161,WY,+0.074,FL,+0.083,WY,+0.063,MI,+0.044,FL,+0.033,WI,+0.027
35,MO,+0.164,OH,+0.078,OK,+0.102,MD,+0.068,AR,+0.062,OR,+0.038,MN,+0.030
36,KY,+0.168,ME,+0.091,SC,+0.106,AL,+0.090,CA,+0.064,AZ,+0.055,NH,+0.032
