feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7
AK,0.10141306648235289,0.20927126564956797,-0.04557090001774448,-0.20569638674504714,-0.0065278553993231335,0.08963422872774941,-0.4426937313288206
AL,-0.06623608022377334,0.13832268043457205,0.24643791139757296,0.0896381771024633,-0.08051593709551014,-0.16190342518803708,-0.11117543401871717
AR,0.05952916773052342,0.2570786444108358,-0.07130567892138831,0.041280818974488986,0.061577941794319246,-0.11953901615494902,0.5138038796077031
AZ,-0.11915739436487922,0.21840284018833714,-0.0923559080655501,0.09253467436890439,0.04011591006669472,0.05510327154089723,0.5060199811615562
CA,-0.19072936541129476,-0.10144067846211233,-0.11688286798477562,-0.10949810023293743,0.06375533809377933,-0.014623483198472694,-0.23734430071231868
CO,0.18730087555465683,-0.029310114194446575,-0.05692999952022255,0.09198404923411391,0.08480604702402605,0.3603718533059115,-0.03162519992232251
CT,-0.0761123784314812,-0.10495571630007575,0.22344343708480424,0.22617548085119882,-0.035900728464713434,0.10217525387204614,0.019257380399624328
DC,-0.15075586655432902,0.04737334756900022,-0.02515458304777964,-0.03065247917001147,0.38059358586397435,-0.09666359347992581,-0.021923227854392942
DE,0.04881380600152126,-0.18192727722093183,0.20063597007990433,0.15523612720958274,-0.09185005745785174,0.0623490953297182,-0.05191182276385621
FL,-0.1869057231950678,-0.010195881332699587,0.0825146888871285,-0.22453886936722403,0.09177725907348001,0.032541820661279676,0.022118079055832757
GA,-0.005966486970890576,0.06557215573111654,-0.1195845629221011,0.29173826874854325,-0.23752808234706224,-0.2907692705049358,-0.17738252888015288
HI,0.018791130705454424,-0.22664594524377893,0.05019808801366069,-0.0845510041546745,-0.21047706100389435,-0.2509999324713341,0.19947633788883634
IA,0.16831162777916556,-0.022397011672106875,0.20462852270041243,-0.1292681273797498,0.01569019409876427,0.005487291176836538,0.019581614951774122
ID,0.19536492004962056,0.0035418840885882564,-0.16106294799874582,-0.01562184008273136,-0.11719716637147204,0.07562532873412935,-0.024485293048045406
IL,-0.0264404045223552,-0.2420207601927407,-0.11957687996073324,0.04218361798496929,0.16503471259637562,-0.04336727612464783,0.07073535671380174
IN,0.12304937254922453,-0.2127656739470659,0.07966624453003984,0.10447047911596567,-0.06964338319633316,-0.0900231752004014,0.05614384899274776
KS,-0.03508682822036058,-0.05196976163532217,0.12891203848426708,0.34383616441764636,0.20648528530929391,0.08726430832253193,-0.04660249051087387
KY,0.16785589954650468,0.16215321487359505,0.052456452229242764,0.14934095465321123,-0.048818985816742086,0.012592074468544882,0.05107325400722807
LA,0.026384503274647995,0.2628606131502474,-0.03827492514407817,0.0053393984043484536,-0.07393186809865077,-0.20150503985974233,-0.1555386334057414
MA,-0.13100258575052365,0.181983173676431,-0.0869276005198858,0.12675631096635306,0.07121097846388373,0.22176116578118188,-0.03624539743031844
MD,-0.17352786084856375,-0.03821811920993411,0.2035877830816309,0.06774229497975531,-0.020299738649044673,0.10792174934986731,0.012447287322518966
ME,0.21322929178239855,0.09131088621113488,0.03226794665064429,-0.08049769253025459,-0.0729197859702048,0.0009895957896893408,-0.008357254838853382
MI,0.17371667138816108,-0.12780010892628135,0.15848662100144129,0.01700394728860677,0.04395293294604689,0.012960467947430195,-0.030580206440465205
MN,0.19450775795041136,0.15279373185101372,-0.008577202350527518,-0.015300263915384861,-0.0530270152748594,0.0034099237999680354,0.029823309457975452
MO,0.16405252885552227,0.0016661823680850162,0.16515051427676103,0.1821941582359428,0.1494376017608668,0.014174428244984374,-0.03239846137715579
MS,0.06391098726501553,0.19043156093296987,0.11931404047844968,-0.24704916875821353,-0.0562257586875775,-0.03421369945251541,0.06800465019941204
MT,0.20836474703147143,-0.07023214134704256,-0.1139157704151712,0.000709745198007874,-0.07753277745954446,0.030621304582386502,0.07504364839880905
NC,0.16104690216041226,-0.06926960099493575,0.025118631092086164,-0.10237501222391744,0.222655314965264,-0.3427826289680629,-0.019305019297976105
ND,0.21647141621190966,-0.08743040159960551,0.0410575323483401,-0.008303602159987503,-0.09040916500726573,-0.01746972429716253,0.07636576840045765
NE,0.13965828852817344,-0.16106442327755216,0.07235894613322008,0.19071298896590066,-0.13091300898244,-0.08215685873053516,0.06263651801161878
NH,0.1982519114385503,0.10379630345522231,0.0009533724121506952,0.005173939213014396,0.01785470263552155,0.2745185985328197,0.03152470524380643
NJ,-0.16423220054051754,0.011070764716736247,0.2030324726252836,-0.08130616683218449,-0.15616990752724677,0.019522608842218642,0.0719738503598602
NM,0.07179923457738616,-0.25858673585459996,-0.05452519307394916,-0.05095063937081753,0.005775987672151658,-0.09283383033905455,0.005980958251329008
NV,0.05750046248258043,-0.22356574624788988,0.05690996514186996,-0.12792029662460172,0.22450469786712593,0.05766244441714144,0.0032407068936135615
NY,-0.10342168417258533,-0.08039237760616715,0.12581386913819614,-0.2781468530315018,-0.1841393618536191,-0.1571829787810168,0.058522115135568195
OH,0.1549929761865185,0.07821372521622609,0.15139537928136693,-0.18712684374187719,0.14889852558004094,-0.060479159087394915,0.05784568293414491
OK,0.025415974568916158,0.22506735083940455,0.10194932464573539,0.17465791454607038,-0.025445664203102507,-0.214164763147991,0.02341405283467816
OR,0.18455023979856922,-0.024982151588073095,-0.12894631049966648,0.005595827226617909,0.2417336532932627,0.03774104712699126,-0.025724543792196658
PA,0.08012454816444865,0.013094984799366365,0.22052012312771108,0.036292422135604914,0.3400386071921965,-0.03919900263909369,-0.011771994390867369
RI,-0.005173050628890443,0.04394974881069062,0.31043828717951616,0.015532566428997877,-0.15075852219560665,-0.0001095544896691098,-0.09143138986797843
SC,0.11765380618657516,0.1667829075450507,0.10594029611084602,-0.20543681022917004,-0.007224041052882604,0.19021355612164587,0.009143913749238342
SD,0.2299570222072173,-0.03953198892653831,0.016017763994426226,0.019672704201140652,-0.04945693258608185,0.0048221650426694546,-0.06354241966312048
TN,-0.06846851516495353,0.14808894625656813,0.2070417254535267,0.19247752040895735,0.1012998462143136,0.065681837281056,-0.015873702053484106
TX,0.004217878821861107,0.039631249599364794,-0.3013403763447785,0.0406719034235656,-0.185300536795271,0.05854677007425425,-0.02106529752461513
UT,-0.014051155767614527,-0.06009763467060895,-0.2713362336616113,0.21908948252396077,0.0008894757001449857,-0.09789520044605056,-0.11596137679915726
VA,-0.009003933552928766,-0.24291692010776345,-0.13610116969221855,0.03746579212835946,-0.015473277958967841,0.1925683225731873,0.15372790130326647
VT,0.20533426879315197,-0.02147687737490111,-0.061749453068987346,-0.16763533056838234,-0.06418352438821895,0.11618929036433977,0.06997388678203971
WA,0.05091048475179208,0.10059851572873756,-0.1806312887058479,0.0012732909908021526,0.309454253021134,-0.30226505418674193,-0.03811087865204071
WI,0.201994826649848,-0.10369009471437467,0.04446141007987643,-0.0023916313396347426,0.10328945621199047,-0.17825913485845626,0.02701901978335429
WV,0.19507789956745664,0.0970724476963637,0.061715184514381176,0.16794588059600926,0.009592581283965515,-0.025820764703356286,-0.03720435338139178
WY,0.20992957834459425,0.07357744059895195,-0.08904074206563868,0.06299316340866831,-0.08927619969761767,-0.03591524358502775,-0.05496987819213082
