feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7
AK,0.002839699991394916,0.002025225606724941,0.009555460904863325,0.0020985558243641527,-0.020956284430732455,-0.006418429727153092,0.775880686157372
AL,-0.13449002620958359,-0.009224309220149132,-0.14513874452137146,0.1484233859260702,-0.06626648996032274,-0.10659500946103082,-0.07277118771899153
AR,-0.2944959303892018,-0.07705587665476356,0.01072167670979464,-0.01835927448021954,0.10050212212350153,-0.0955528446537565,0.2863366596988297
AZ,-0.0058008209863287105,-0.2557338714598843,0.0021084207641284517,0.052506090601521206,0.04099520920873694,-0.0789880206318576,0.20321193227387388
CA,0.17860335006893507,-0.004220327126780227,-0.08271785148607352,-0.1087414656748333,0.06326948496753766,0.026637541202833938,0.057681561192324704
CO,0.2386427348471452,-0.023581642086629565,0.14148273024112876,0.05364556787614401,-0.11592429769100408,-0.02628197639737801,-0.17498027651935918
CT,-0.07290140661596291,-0.05542860139331283,-0.06312198168708374,0.500978852081173,0.06715390962723224,0.12263483855313068,0.03784193800710568
DC,0.1141269943956578,0.003309322755459939,-0.032330285763445626,-0.16830261421170975,0.12789828297038272,-0.38409800280388007,0.04043772944186363
DE,0.09893928253787666,0.17048935546069954,0.024041369310327104,0.3918989146867027,-0.04316339378037836,0.1159933805922489,-0.13749576590861273
FL,-0.1479758088416305,-0.0005696288500846726,-0.13656842119706136,-0.1844923382384328,0.0055272893422540275,0.09466229244707232,0.02112645333914472
GA,0.17309239075077568,-0.02586382932994392,-0.01936451663351295,0.1890876158143879,0.020694254031041446,-0.1321316676684371,-0.0075567488343401875
HI,0.12000242707354354,0.3350098701583631,-0.22494910171387592,0.06716299168437759,0.05860503234309466,0.04966935518063516,0.09299489419768742
IA,-0.14305100446664204,0.14980160057789732,0.0026817918872328005,-0.01954810806790459,-0.08963480342567905,0.019779492686977502,0.012285008309900878
ID,0.025230759623667873,-0.007763743370089071,0.3546741942085347,-0.08633964277901551,-0.03612184456662562,0.1966864819861578,0.02695461425366042
IL,-0.042937714230136335,0.16116627117216836,0.10335898891090252,-0.20931376027543977,0.3777408451920955,0.07069711283680218,-0.035536423879056145
IN,-0.07603012222075865,0.2608641485115561,0.04015070173865192,0.1554287730314799,0.11698287184300385,0.0521188715313788,-0.04446893833283817
KS,0.02720707551180448,-0.0687230553774512,0.1346320565408487,0.2876115351926022,0.11764017224230094,-0.1429147949326027,0.016899067005442935
KY,-0.19805416088482267,-0.052082435974314174,0.07392028987411305,0.053136007524633086,-0.01994849832261947,-0.01899247672014727,-0.07626439264029256
LA,-0.10498108149141734,-0.0930201985455905,-0.06938256323457383,0.025195908297545838,-0.09423243206969006,-0.2207168388946157,-0.14068834399949956
MA,-0.04385050617967173,-0.37866948757586555,0.0941635631449966,0.002275469405837477,0.014669886630266962,0.040368234187607904,-0.0026221665951848085
MD,0.19237854595641848,-0.008290456183154346,-0.056524048834137974,0.1419918601126707,-0.05135654481643088,-0.027266964749717158,0.10833190162590048
ME,-0.044969181720541235,0.1497438601345631,0.14755465539046678,0.04616237121774326,-0.24668801108999514,-0.06054589373835948,0.09045728662361628
MI,-0.14811443664822066,0.17231732458243942,0.07011476067823268,0.03751941466881224,0.0007641239394546824,0.03100439646262409,-0.005784126186899549
MN,-0.025734592827320376,0.013051201756592218,0.21854574384817682,0.11214242188114253,-0.24331259827156418,-0.16363396017938617,0.0656166532825414
MO,-0.21391728742809818,0.030856176739530485,0.07916836184754657,0.04931375396645427,0.04075149811685591,-0.030584960372334307,-0.02576653474398844
MS,-0.029605462608099438,0.08175713046614029,-0.14114141029785754,-0.10165338441209071,-0.3603810864975735,-0.08633010203720802,0.0022043111354951806
MT,-0.030213440149397676,0.12805205805001388,0.2660291297273061,-0.041709737097706256,0.04372426702607667,0.13008626687596583,0.04780711403045527
NC,0.19556636330312474,0.17472719540895712,0.009371799471163943,0.0449984964345543,-0.02291355735460085,-0.20438802812578874,0.060074866632287366
ND,-0.14185626336538057,0.180861624367794,0.09585117636932007,0.03509936651031546,0.0006311345301151719,0.07850545550245175,0.0651431499840701
NE,0.08950985942902957,0.16078850320454458,0.05491039013711387,0.294683419343419,0.07532324532031802,-0.025339873308964433,0.14121692160174262
NH,0.020261892939340057,-0.11374757871956108,0.3612103570715337,0.04824582789778597,-0.2195419421688647,0.09277770144398202,0.06494060094751347
NJ,0.035669108190229185,-0.027419120002217592,-0.36071889960938425,0.10168827434029949,-0.20424943469252044,0.14302240761219384,-0.04135385433687361
NM,0.17586612748478514,0.17873500523562974,0.01952849522787669,-0.00772952883820634,0.05185460541114563,0.00287634405934251,0.019911809724892784
NV,0.016820887538547796,0.2501523239766729,0.0782260307577657,-0.17708517662126108,0.05133503851331872,0.05158859010786957,0.007870901532381925
NY,-0.0951794499621119,0.1444585163289332,-0.2623251890987715,-0.10112667689198256,-0.022633749068602826,0.11848978281897703,0.14826452915151442
OH,-0.11672510171380734,0.1746632844999565,0.014103974019327838,-0.09112220639044291,-0.13759160209945803,-0.12219019873337686,-0.011219168364640432
OK,-0.15438857782430868,-0.049651210046183294,-0.048175307770916234,0.16624062664540804,-0.010590691260019758,-0.20614466574157778,-0.02488417845582709
OR,0.16305391292579455,0.05416975566886245,0.13453075456148675,0.0072872303022278396,-0.0062697583217740886,-0.10611623312770348,0.045774000222838
PA,-0.19206807191984915,0.12410676391636548,0.058595500378120766,0.011892684834883992,0.013989854347037391,-0.1757952055721184,0.006136354008355914
RI,-0.1766777363846224,0.04230405824184205,-0.14200546103567935,0.16558937059764764,-0.0919332032543579,0.04878497080940091,0.11315289727123537
SC,0.036744228031860934,-0.01951426964943385,0.09723417373593635,-0.11806723546064615,-0.509021338459462,0.06607010533273995,0.009382439188151851
SD,-0.18451034793590204,0.12882665224243514,0.14122284274554492,0.029761029693104613,0.018261335796851515,0.051659960018742665,0.09398365590980971
TN,-0.22194301340037179,-0.08090395771122703,-0.01258184772224575,0.05861793471351885,0.03046379634297066,-0.010520105112308154,0.0256870357655835
TX,0.11943553428265877,-0.16508631589296327,0.07743492428507105,-0.026132402103231665,0.08093876901151761,0.11411561031402523,0.12945396554478536
UT,0.07584870410165319,-0.11408404176845394,0.13370815965172497,0.035536992419733376,0.2744882574989038,-0.06154356716280673,-0.05992252038505879
VA,0.18414073401487877,0.017845877589538962,0.027360335589403234,0.055724573056046105,-0.004012365499394939,-0.005965357432666129,0.0943671926808584
VT,0.1936425964929983,0.08816070215509138,0.11410690088841978,-0.037793977510502286,-0.14044769782019664,0.03840135122728421,0.018442144049137955
WA,0.17313952260625848,0.05495055118350685,0.03847201873224085,0.013660679334521003,0.024054300153568686,-0.22844903979262318,0.05959305772098355
WI,-0.06448902810282144,0.2900726270987725,0.09655294629964288,-0.0016124717657303581,0.03041328053624871,-0.16470026076394712,-0.11540162288173098
WV,-0.19052120075129442,-0.013835220972862093,0.06961525416430149,0.018857409818377767,0.0036567072301934745,-0.017688417516915918,-0.12563911032981395
WY,-0.17953426593184796,0.005066765390903289,0.22657162186361812,0.04852470171602994,-0.009142677308706522,-0.035445320799486764,-0.05489737928513886
NAT,0.043127575957196955,0.004587423652909322,0.007685435603085818,0.0678367093600983,0.029216231647731364,0.5374597411477652,-0.021019917211415218
