feature,PC1,PC2,PC3,PC4,PC5
AK,-0.0613709504275303,-0.014177842516257852,0.002323592474961777,-0.14149548091030872,0.6616881058506343
AL,-0.11477133680664119,0.02833105680271984,0.28240888134658987,-0.15470525923229533,-0.08874594901443426
AR,-0.0925322480791976,-0.02231820396367076,0.02113307447766188,-0.26530622570505147,-0.5406855764505704
AZ,0.14299071392255597,0.04663713596507665,-0.016610962226241165,-0.03762014128368995,0.13420248695904904
CA,0.17399997552959032,-0.12893488757962,-0.036841636455355944,-0.026085255971688034,-0.006515224919144968
CO,0.09845629267271527,0.20652150625412982,-3.4849253341586266e-05,-0.03734242478306953,0.03671002295308382
CT,0.029678516950906897,0.3239771434366269,0.05051736232809015,0.16095827546892646,-0.006598872458158939
DC,0.10084763204758028,-0.09561590064267567,-0.14385540295364702,-0.24810605709520256,0.0020340490102143984
DE,-0.14690910455464257,0.22232601630994497,-0.013147186777205918,0.0974369998923515,0.14440988461957857
FL,-0.03806046892257199,-0.217786060776314,0.06709991703792324,0.06146487666559278,-0.06205505758986722
GA,0.07535105674298415,0.11093070856870584,-0.07296682300590596,-0.09007849245489835,0.17898225432175863
HI,-0.1333245944132681,-0.15430303072064178,0.0352337889942143,-0.045951360869602755,-0.12133563070616761
IA,-0.17105459430891015,-0.02784324646102505,0.07185141833729138,0.0023541369144842597,-0.05054778902712369
ID,-0.1038901233571448,0.20763341670485919,-0.06695679373456169,0.1955307571022641,0.006470742492534933
IL,-0.07060887398330451,-0.12035027514013656,-0.28251954113393224,0.0800343195416156,-0.14199829730070024
IN,-0.20249528032807565,0.04312998731789768,-0.10515383133538879,0.05022863231903244,0.04459138426534156
KS,0.05351071665231351,0.22111816949978513,-0.10010171363275551,-0.04135433202659751,0.0038331060063857506
KY,-0.18535118966555972,0.09627086392873262,-0.009056064994312567,0.06837921175211999,0.03795948951559696
LA,-0.013957119053135245,-0.06182093579481762,0.12020177202510568,-0.3611855358832875,0.1401823049388959
MA,0.20457187387252018,0.08416455547256409,0.009817404927687809,0.07056839983972729,0.012953680349111223
MD,0.1754937663274155,0.12879996004237243,0.09832028743513957,-0.07544127760475693,-0.057204686606292444
ME,-0.1899606309511891,0.10738954332793445,0.11119636282806564,-0.0773984311724278,0.07032677137636381
MI,-0.2115451106096315,0.009456077902632682,-0.03816396693711105,0.03143540156577464,0.061663467484872135
MN,-0.08904160813380267,0.22074284479347758,0.10466093808775913,-0.12685499872144707,0.028762728982097335
MO,-0.18736999000959562,0.05615165409629593,-0.05875317741061555,0.03180942129510339,-0.020464688191520725
MS,-0.10820366353759765,-0.12350279859493359,0.26821247379304747,-0.12910989002327503,0.06390812753768732
MT,-0.13873842458340452,0.11502042294951817,-0.0739366336184797,0.09479306006199968,-0.10115304868983609
NC,-0.019688984383527404,0.08396474290115236,-0.0744879425391588,-0.3305719376896933,0.041975969572356386
ND,-0.19211225775217272,0.02933584681367756,-0.015833445844747798,0.04733318408747062,0.013300482157997088
NE,-0.03972270125344917,0.26169677043024236,-0.05142793194774324,-0.03584697798345199,-0.05462419283584648
NH,-0.03224877610930054,0.2946039622356343,0.09576458954857166,0.06296463915810824,0.0666269704045909
NJ,0.03444081928240647,-0.1568366802832802,0.27658259014006836,0.06784714076380345,0.16365745490099495
NM,-0.1740363509773865,-0.006291804247875456,-0.41198967190360425,-0.18619473355364236,0.043381936237511964
NV,-0.2019867173083705,-0.11669959994477869,-0.10935041600289218,0.008486426112017963,0.043914407956689425
NY,-0.10061613150543496,-0.21799780413704992,0.08378302267650285,0.028950424556328593,0.07078311643494684
OH,-0.218346320692926,-0.07421855114949058,0.04663743376309734,-0.10575336069527001,0.04732329024718303
OK,-0.02954861237085892,0.19745524369062853,0.061196088708085725,-0.2465077390136213,-0.11370038544649363
OR,0.06450369224055695,0.17110382027640358,-0.0815394134165538,-0.15875241298402412,-0.04574360208897313
PA,-0.2221875357148504,0.0112578334549172,-0.0629467745189552,-0.11731524603216095,-0.013679917664979587
RI,-0.14298160481620906,0.019256432287154797,0.21884213789546017,0.04057979865944197,0.020538153512874847
SC,-0.04767377415848428,0.05324351925022942,0.39060697508024383,-0.03817449332295991,-0.058814037863819786
SD,-0.21345617862212096,0.04297656367413724,-0.05181791255433502,0.046085354417581124,0.0859435444211802
TN,-0.15949188621139085,0.04314438652305524,0.037505866166710214,0.11916145528044708,-0.010880316560592174
TX,0.19465958424816437,0.05834075789625733,-0.04663629869458289,0.07850042111183736,0.03410465638511725
UT,0.12106321909109272,0.08338681374465283,-0.23381094378955802,0.0159117810693511,-0.005558669251412538
VA,0.15670434000654665,0.13180356560096493,0.007416130694552751,-0.06560476240375916,-0.023916335410256683
VT,0.009495109809449977,0.25386942096995985,0.22654878008764948,-0.09937572072138152,-0.08744497589220791
WA,0.07148942433328535,0.06009087435149929,-0.09859638410271031,-0.22176437212393982,0.05019438765346142
WI,-0.23366870129172618,-0.0020388494995618547,-0.11505070514138616,-0.08567501101666854,0.03363525508594925
WV,-0.15895166323436816,0.046336979899074475,-0.02281408903787612,0.06060759072714542,-0.09510900028435698
WY,-0.15861258657834287,0.1535712719376313,-0.0548907460738869,0.027226560582852388,-0.03494113859214036
NAT,-0.013460555176518061,0.028125780437881543,0.06767303975324909,0.39745256987019123,-0.017519421390786813
