feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7
AK,-0.041104584959510276,0.0725195299792828,-0.17853912618965107,-0.22947740333727557,-0.00639836130987538,0.12116457598762911,0.0371038148892501
AL,-0.040661916915578376,0.388766364516056,0.006583140187915104,0.0851889787979275,0.018499542298041616,-0.10495665948694538,-0.20698011239719233
AR,0.007176105713965372,-0.014689542483387023,-0.014825976064355038,0.008529767232939635,0.02215217242740473,0.0060321425506866255,0.6343270173326178
AZ,-0.24978856149485837,0.22610247288052251,0.11963817081831207,-0.07719346910297942,0.01662444325149726,0.17915044838686334,-0.2348342890671029
CA,-0.11295308147115862,-0.31614882768975877,-0.0016846277889562473,0.0043682033423094865,-0.03772550540337505,-0.17378888491239605,0.30445022339292666
CO,0.03906989548561233,-0.03878545895708322,-0.04162171102336807,0.012421956418752024,-0.04143199162995099,0.41531181089133146,-0.3140686572671126
CT,0.04612107024023113,-0.006093979750488552,0.004671547602567134,0.3296238597093489,-0.16963738237728437,-0.02617645105604877,0.011283877699651725
DC,-0.2570513727848894,-0.06721749486619873,-0.03003308570250598,0.08922929660652602,0.27819391854190006,-0.00494166042261086,0.03010906303849387
DE,0.1757125949909279,-0.0027623581424646862,-0.0038107296366134127,0.2325587967009112,-0.1169232697328949,-0.03564412485422758,-0.09962918515709074
FL,-0.19667849531698295,-0.053135461724619026,-0.17648629586887887,-0.043612539020944384,0.016234663565184434,-0.1282158374055711,-0.11824432901010294
GA,0.09059304609336345,0.26161827543343197,0.4042848904922335,-0.01654296587050563,0.00043962077133366257,-0.08249486570596998,0.03182899698444613
HI,0.21288114478724277,-0.019774865388407437,0.06800715662193091,-0.05205427727909623,0.013392410064860945,-0.32941447916668964,-0.03505613126018918
IA,0.15818647153399482,0.04277053391368414,-0.2394466520940096,0.02277029957738974,0.03978090742627777,-0.0279304745842622,-0.024554763994677136
ID,0.15633450811026448,-0.04679187027301596,0.04431700803577063,-0.16225185142861376,-0.04898109224860763,0.142102209341313,0.04250123586741976
