feature,PC1,PC2,PC3,PC4,PC5
AK,-0.12657475080381939,0.2804511654858657,-0.047053276087790225,0.006292458796186583,-0.2856313005970759
AL,-0.03673443426852896,0.2554900371747187,-0.002841060699424592,0.01818235318309489,-0.031123935357256455
AR,-0.0030485357520873045,0.003351648188696589,-0.003681900470013411,0.001335800026069347,0.8681560858000179
AZ,-0.2757392743716556,0.07516607674440183,0.06639620096899579,0.02060635259588325,-0.16058710903664797
CA,-0.059178613286559434,-0.16726142792843532,-0.1576883178478974,0.024500367322226494,0.011772028597490805
CO,0.03548155452229689,-0.05145213915101871,0.2708982979232448,-0.15470076328927987,0.029427059730984063
CT,0.07164914203900644,-0.016625144080589543,0.22115863294796095,-0.21416440626275138,-0.041229992056236474
DC,-0.16413603144494596,-0.0002347577671210288,-0.0674533139031233,0.2889382077813159,-0.07396818026820619
DE,0.1877797273811912,-0.03581097575349451,0.10269882014107838,-0.117179625628135,0.022837302866484277
FL,-0.021090941605626495,0.01126559609534527,-0.27560717403720936,-0.021187778041819115,0.060411804441862775
GA,-0.16159744693781383,-0.10506337927389885,0.23039024370401315,0.09079080159298401,0.1063214297265091
HI,0.21505364452600043,-0.07315583754940479,-0.1360102806070218,0.02790386069146208,-0.08846169627818394
IA,0.20189921690792476,0.15200266857249034,-0.027234595897634238,-0.002585504133623156,0.008599066922528716
ID,0.1009167167568439,-0.06487805937956476,0.20239183936465718,-0.1188914763182957,-0.06551213432483875
IL,0.072714300009138,-0.22840921151841073,0.0016677933453717654,0.11073391137505285,0.00278886535746827
IN,0.19936152853450986,-0.06687022654583895,0.06704839909093095,0.016816737708560146,-0.029504072989527223
KS,-0.06835049425885945,-0.03007174178561027,0.30397041574251044,0.06100807979960544,-0.06371527048358093
KY,-0.02523169851906439,0.1705479348080908,0.19594070711453535,-0.007712321172753648,-0.01182380315567894
LA,-0.13771599093501766,0.18760562183271676,-0.0046184886404389575,0.09522703001125168,0.025020069848810274
MA,-0.25138198204413903,-0.0008985351068112586,0.0964347275160966,-0.08520271937128752,0.044284709709499534
MD,-0.06306950405474022,0.04362681902702956,-0.06811878046495218,-0.38202937469355114,0.071321765754597
ME,0.1339619472871853,0.18501300965634648,0.04402956447874471,-0.02360887224976394,0.05298274521774819
MI,0.22316665400958918,0.025314034705083303,0.05841810397197935,0.0023756218202235987,0.07409634426895195
MN,0.024812610247843928,0.20720086795663842,0.1144121501701416,0.0013981813242225337,0.021203653840838887
MO,0.07695215948861217,0.10766302287547694,0.19112865116413452,0.07800489090170089,-0.053994810027643225
MS,0.029238812515337765,0.23695070076517372,-0.13566414710348756,-0.018365769285589036,0.028544744500929482
MT,0.16345324792282756,-0.0707505939190891,0.12778810811819274,-0.017061337664883134,-0.04459289870307959
NC,0.19988172630209308,0.043603034948656715,-0.0659615843334709,0.3294697587006912,0.024743408796898875
ND,0.20216645223175742,0.033688102582828776,0.06941122276640581,-0.010897885734924154,-0.046393475164246
NE,0.16750044917203524,-0.048712963552167074,0.1339497727689015,-0.012771735663934615,-0.026301613605761238
NH,0.004205558121229381,0.14129872153781667,0.2067693795907312,-0.1457403001822261,-0.013715540621813946
NJ,-0.005938359824157027,0.1327331186770643,-0.19804453892897442,-0.19698910233480085,-0.0730232289630999
NM,0.1784179209812594,-0.14869287952838958,-0.040951822806190204,0.06691215352714024,-0.05722023744724502
NV,0.20667848198419142,-0.08590760747210825,-0.059306281262503875,0.10738019786142577,-0.10587572583604038
NY,0.13339306526801212,0.04212012920861825,-0.29464244749525265,-0.04468527145222893,-0.0239569405028764
OH,0.14634310002928444,0.21432723694475464,-0.06811944484208428,0.11638859743485484,0.04256195629168257
OK,-0.09879349550469425,0.20219407244313636,0.10267680390234418,0.10650872833791793,-0.002482529731512449
OR,0.05954100251931533,-0.052945051432477484,0.1799392761813407,0.2397910786023496,-0.048595540151916666
PA,0.09808794661783397,0.16212557490203736,0.07886769836396798,0.2088455588790562,0.007272680605347523
RI,0.09605033335255646,0.21568554238907553,-0.01546337394142912,-0.13069740363005944,-0.019693387520873573
SC,0.020931783133689912,0.24120243977407627,-0.04033955486048122,-0.11222307509159304,-0.010249812706646006
SD,0.18568930554051052,0.03880499629025061,0.11275261037042661,-0.0070022751784283325,0.04307443002146554
TN,-0.11421515551736607,0.1648732229641072,0.14158902608768267,-0.029234989064277375,0.09586068087657847
TX,-0.17985146812771025,-0.19003851873827043,0.06030083750752105,-0.11755136998803448,-0.00452651787648164
UT,-0.12284390720995711,-0.20131217848128438,0.13819680696491335,0.10545685069415801,-0.09122967935585918
VA,0.05344547535494821,-0.23349600180843133,0.039687097132157866,-0.09423349244053501,-0.03191141828466351
VT,0.22667227029980885,0.043687696253382466,-0.01504194472523371,-0.1130488944998122,0.004008789112171464
WA,-0.07655498994031358,-0.009457734588669959,0.0011172688007288982,0.3822412311411233,0.0748001551339106
WI,0.20657416408800308,0.020986872535797646,0.04213519474795401,0.1753471282261409,-0.006770968741180147
WV,0.027392380015958465,0.13694708874269423,0.20613874078426792,0.05032690520822641,-0.03433959635854137
WY,0.07674902717823068,0.06990864616535357,0.21003368808374145,0.013602935120296871,0.10242163648012999
NAT,0.11289541622130109,-0.13901821188559835,0.02179556686044071,-0.2290349441659565,-0.09170976425572343
