year,abbr,D_votes,R_votes,pres_margin,pres_margin_str,electoral_votes,relative_margin,relative_margin_str,national_margin,national_margin_str
1960,AK,29809,30953,-0.018827556696619598,R+1.9,3,-0.01866432862747922,R+1.9,-0.00016322806914037806,R+0.0
1964,AK,44329,22930,0.31815816470658204,D+31.8,3,0.10160791064762434,D+10.2,0.2165502540589577,D+21.7
1968,AK,35411,37600,-0.02998178356685979,R+3.0,3,-0.006428976743908615,R+0.6,-0.023552806822951175,R+2.4
1972,AK,32967,55349,-0.2534308619049776,R+25.3,3,-0.0029216107599296937,R+0.3,-0.2505092511450479,R+25.1
1976,AK,44058,71555,-0.23783657547161652,R+23.8,3,-0.26058355902647534,R+26.1,0.02274698355485883,D+2.3
1980,AK,41842,86112,-0.3459837128968223,R+34.6,3,-0.24283253750837586,R+24.3,-0.10315117538844643,R+10.3
1984,AK,62007,138377,-0.38111825295432766,R+38.1,3,-0.1986512291138337,R+19.9,-0.18246702384049396,R+18.2
1988,AK,72584,119251,-0.24326634868506788,R+24.3,3,-0.16661724290772134,R+16.7,-0.07664910577734656,R+7.7
1992,AK,78294,102000,-0.13148524077340343,R+13.1,3,-0.2038991575364772,R+20.4,0.07241391676307377,D+7.2
1996,AK,80380,122746,-0.20857005011667634,R+20.9,3,-0.3046505306336804,R+30.5,0.09608048051700407,D+9.6
2000,AK,79004,167398,-0.3587389712745838,R+35.9,3,-0.36387242964406435,R+36.4,0.005133458369480549,D+0.5
2004,AK,111025,190889,-0.2645256596249263,R+26.5,3,-0.23986535950137874,R+24.0,-0.024660300123547554,R+2.5
2008,AK,123594,193841,-0.22129569833194196,R+22.1,3,-0.2967110439035474,R+29.7,0.07541534557160545,D+7.5
2012,AK,122640,164676,-0.14630580963120746,R+14.6,3,-0.18650367561565603,R+18.7,0.04019786598444858,D+4.0
2016,AK,116454,163387,-0.1677130942213614,R+16.8,3,-0.19096437402808258,R+19.1,0.023251279806721186,D+2.3
2020,AK,153778,189951,-0.10523697447698623,R+10.5,3,-0.15059671689956017,R+15.1,0.04535974242257394,D+4.5
2024,AK,140026,184458,-0.1369312508474994,R+13.7,3,-0.12193455941329925,R+12.2,-0.014996691434200151,R+1.5
1936,AL,238196,35358,0.7414916250539199,D+74.1,11,0.4923105590541748,D+49.2,0.24918106599974504,D+24.9
1940,AL,250726,42184,0.7119661329418593,D+71.2,11,0.6119949964087205,D+61.2,0.0999711365331388,D+10.0
1944,AL,198918,44540,0.6341052666168292,D+63.4,11,0.5701179109596506,D+57.0,0.06398735565717857,D+6.4
1948,AL,171443,40930,0.6145461052016971,D+61.5,11,0.5778229250808465,D+57.8,0.03672318012085056,D+3.7
1952,AL,275075,149231,0.2965878399079909,D+29.7,11,0.41417673098860075,D+41.4,-0.11758889108060984,R+11.8
1956,AL,280844,195694,0.17868459598185243,D+17.9,11,0.34725642952300506,D+34.7,-0.16857183354115265,R+16.9
1960,AL,318303,237981,0.1443902754708027,D+14.4,11,0.14455350353994306,D+14.5,-0.00016322806914037806,R+0.0
1964,AL,210732,479085,-0.389020566324112,R+38.9,10,-0.6055708203830698,R+60.6,0.2165502540589577,D+21.7
1968,AL,196579,146923,0.14455811028756746,D+14.5,10,0.16811091711051862,D+16.8,-0.023552806822951175,R+2.4
1972,AL,256923,728701,-0.4786592047271576,R+47.9,9,-0.2281499535821097,R+22.8,-0.2505092511450479,R+25.1
1976,AL,659170,504070,0.13333447955709915,D+13.3,9,0.11058749600224033,D+11.1,0.02274698355485883,D+2.3
1980,AL,636730,654192,-0.013526766140789296,R+1.4,9,0.08962440924765713,D+9.0,-0.10315117538844643,R+10.3
1984,AL,551899,872849,-0.22526790702636537,R+22.5,9,-0.04280088318587141,R+4.3,-0.18246702384049396,R+18.2
1988,AL,549506,815576,-0.19491136796177813,R+19.5,9,-0.11826226218443157,R+11.8,-0.07664910577734656,R+7.7
1992,AL,690080,804283,-0.07642252919805964,R+7.6,9,-0.1488364459611334,R+14.9,0.07241391676307377,D+7.2
