year,abbr,relative_margin
2024,AK,-0.1219345594132992
2028,AK,-0.14157461860565004
2032,AK,-0.17004288658001662
2036,AK,-0.25710909881980054
2040,AK,-0.18075142118579865
2044,AK,-0.20711320698585922
2048,AK,-0.26584908403464363
2052,AK,-0.21121650817794987
2056,AK,-0.23865830658414655
2060,AK,-0.25665579616968465
2064,AK,-0.2439418247174054
2068,AK,-0.2364367543599415
2072,AK,-0.22702515636819698
2076,AK,-0.19276124908155895
2080,AK,-0.14758927924078505
2084,AK,-0.13166372311828353
2088,AK,-0.18624384947594477
2092,AK,-0.2468002514956481
2096,AK,-0.21460455890663807
2100,AK,-0.16268357208590822
2024,AL,-0.2938155471596788
2028,AL,-0.13729033775545219
2032,AL,-0.0836846572788856
2036,AL,-0.027555894272427255
2040,AL,-0.04570087522880466
2044,AL,-0.06367486584282582
2048,AL,-0.12216554937432761
2052,AL,-0.14077317468237677
2056,AL,-0.17222000555876163
2060,AL,-0.14608088557181978
2064,AL,-0.16873106037326294
2068,AL,-0.17800237635771188
2072,AL,-0.2348460623430454
2076,AL,-0.21179928608221316
2080,AL,-0.25130292852830227
2084,AL,-0.22741752618903596
2088,AL,-0.2412804477748887
2092,AL,-0.3279453035072575
2096,AL,-0.2800163774737408
2100,AL,-0.30940549768221126
2024,AR,-0.2984031732887673
2028,AR,-0.1164010078370332
2032,AR,-0.0017858153945432107
2036,AR,0.03662374784915398
2040,AR,-0.005434114441660443
2044,AR,-0.038706148352277966
2048,AR,-0.10766492464080649
2052,AR,-0.09728980442415311
2056,AR,-0.11324969598968297
2060,AR,-0.15583266983601593
2064,AR,-0.15500735814755404
2068,AR,-0.24063920920908086
2072,AR,-0.22597013290781087
2076,AR,-0.1942037439479293
2080,AR,-0.2161910127026982
2084,AR,-0.20129104171787954
2088,AR,-0.21458578655698185
2092,AR,-0.254451401950422
2096,AR,-0.2797767867308495
2100,AR,-0.3074717552563131
2024,AZ,-0.0408864877831335
2028,AZ,-0.03938902959759326
2032,AZ,-0.12867901967970777
2036,AZ,-0.16141848634869055
2040,AZ,-0.1399627867567528
2044,AZ,-0.1851689090589839
2048,AZ,-0.21420692426544327
2052,AZ,-0.18741091466772838
2056,AZ,-0.11815916751487583
2060,AZ,-0.10062929571480653
2064,AZ,-0.09960174606931319
2068,AZ,-0.11584847661309654
2072,AZ,-0.13489307477832718
2076,AZ,-0.09001675610906056
2080,AZ,-0.04572777531988138
2084,AZ,-0.018540102338856564
2088,AZ,-0.015069287800486652
2092,AZ,-0.024490206950099177
2096,AZ,-0.030677046009525998
2100,AZ,-0.02084433753642328
2024,CA,0.2229995428701669
2028,CA,0.13170241461992335
2032,CA,0.02211331672007212
2036,CA,-0.0024374107553089422
2040,CA,0.004126136829998404
2044,CA,0.08550995312210218
2048,CA,0.028718854485793265
2052,CA,0.10258544554289921
2056,CA,0.08960648178101042
2060,CA,0.17349293782003083
2064,CA,0.1419475590335029
2068,CA,0.15411622015567839
2072,CA,0.06899496428476048
2076,CA,0.056611038826538757
2080,CA,0.12890299357394921
2084,CA,0.18074004134938604
2088,CA,0.17123360730604453
2092,CA,0.18474204941148228
2096,CA,0.1582247251248448
2100,CA,0.2502568945785051
2024,CO,0.1279275260555293
2028,CO,0.03104629664036675
2032,CO,-0.029777783255925193
2036,CO,-0.059704847132744376
2040,CO,-0.03139667741747627
2044,CO,-0.07459974618279366
2048,CO,-0.13683515974459715
2052,CO,-0.10197668080471636
2056,CO,-0.08303679478912965
2060,CO,-0.03772170665682691
2064,CO,-0.09547983098358859
2068,CO,-0.07748398647139704
2072,CO,0.004659058697554271
2076,CO,-0.006136683858309191
2080,CO,0.034067134353245584
2084,CO,0.1117568009472263
2088,CO,0.1363164201810039
2092,CO,0.07615130284457823
2096,CO,0.06606561896126383
2100,CO,0.08916022508198501
2024,CT,0.1625613411593835
2028,CT,0.049351526712517954
2032,CT,0.030241680772618944
2036,CT,-0.008457688822323312
2040,CT,0.03147864130705044
2044,CT,0.01658212416386354
2048,CT,0.023326097728945297
2052,CT,0.07071373447626879
2056,CT,0.07822776430495518
2060,CT,0.09964556591405319
2064,CT,0.09636580226483651
2068,CT,0.08088527583305459
2072,CT,0.10311744943154358
2076,CT,0.12986791546850926
2080,CT,0.13807297409111713
2084,CT,0.11141784689495629
2088,CT,0.12239988034064889
2092,CT,0.16516103232856225
2096,CT,0.144307958232169
2100,CT,0.16670759657048248
2024,DC,0.8812916026347609
2028,DC,0.8197439480329363
2032,DC,0.799949383580485
2036,DC,0.820405723261788
2040,DC,0.7797539308104484
2044,DC,0.7729035942566893
2048,DC,0.7795235925567608
2052,DC,0.7930628682120155
2056,DC,0.7906048385200166
2060,DC,0.8419135660113224
2064,DC,0.8275409835056464
2068,DC,0.8667597716302479
2072,DC,0.8343137653781832
2076,DC,0.8812338545210229
2080,DC,0.8683468922506027
2084,DC,0.822320944943518
2088,DC,0.7675756061726476
2092,DC,0.8596556864235043
2096,DC,0.8669999759871735
2100,DC,0.8480564035031938
2024,DE,0.1645814042641635
2028,DE,0.08914671566170627
2032,DE,0.09163789913827465
2036,DE,0.08532365978567763
2040,DE,0.14726777617651945
2044,DE,0.10943483132970919
2048,DE,0.06335450120789293
2052,DE,0.08354054886591752
2056,DE,0.1446308523272129
2060,DE,0.034711228579037946
2064,DE,0.040979377357623935
2068,DE,0.21230642788013998
2072,DE,0.17606551959701983
2076,DE,-0.00904906134208937
2080,DE,0.03944648091475129
2084,DE,0.04520693638393306
2088,DE,0.031185139124354975
2092,DE,0.08291253149672469
2096,DE,0.15184542674123672
2100,DE,0.27054147475474627
2024,FL,-0.1172246972356457
2028,FL,-0.035828097163124024
2032,FL,-0.03744909429778667
2036,FL,-0.03149139229130322
2040,FL,-0.041632336365925914
2044,FL,-0.0058127534873652865
2048,FL,-0.04837439542239165
2052,FL,-0.08195072502346147
2056,FL,-0.05555162183941054
2060,FL,-0.08097885250126366
2064,FL,-0.06616865372601215
2068,FL,-0.05850717953872471
2072,FL,-0.16982575298057787
2076,FL,-0.11577273929243852
2080,FL,-0.10291701002154093
2084,FL,-0.04221193018124378
2088,FL,-0.02722155157160374
2092,FL,-0.06642532493158596
2096,FL,-0.01968786468614654
2100,FL,-0.027727355839751805
2024,GA,-0.0070906315937626
2028,GA,0.03149396399658842
2032,GA,0.04028072272276498
2036,GA,0.035458114763976666
2040,GA,0.046553482678851336
2044,GA,0.004236890497536231
2048,GA,-0.006107572203435929
2052,GA,-0.007877021468553425
2056,GA,-0.020451663435925607
2060,GA,-0.06917978490714267
2064,GA,-0.05959349590375192
2068,GA,-0.027999142424863562
2072,GA,-0.07232578730812117
2076,GA,-0.06473142734746402
2080,GA,-0.08628640925267386
2084,GA,-0.04102308091272039
2088,GA,-0.08748505185876303
2092,GA,-0.11090186387585367
2096,GA,-0.02064710313942549
2100,GA,0.012265197118292
2024,HI,0.2506032080464301
2028,HI,0.22772630708371674
2032,HI,0.1740513465075074
2036,HI,0.1527417853742581
